type,minute,team,player,position,location,bad_behaviour_card,dribble_outcome,interception_outcome,pass_goal_assist,shot_outcome,substitution_outcome,substitution_replacement,foul_committed_card,injury_stoppage_in_chain
Pass,59,Bayer Leverkusen,Victor Okoh Boniface,Center Forward,"[101.7, 28.5]",N/A,N/A,N/A,True,N/A,N/A,N/A,N/A,N/A
Pass,67,Bayer Leverkusen,Robert Andrich,Left Defensive Midfield,"[81.3, 29.6]",N/A,N/A,N/A,True,N/A,N/A,N/A,N/A,N/A
Pass,82,Bayer Leverkusen,Exequiel Alejandro Palacios,Left Defensive Midfield,"[31.0, 42.8]",N/A,N/A,N/A,True,N/A,N/A,N/A,N/A,N/A
Pass,89,Bayer Leverkusen,Alejandro Grimaldo García,Left Wing Back,"[66.1, 27.3]",N/A,N/A,N/A,True,N/A,N/A,N/A,N/A,N/A
Dribble,2,Werder Bremen,Romano Schmid,Left Center Midfield,"[63.0, 4.7]",N/A,Incomplete,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dribble,18,Bayer Leverkusen,Robert Andrich,Left Defensive Midfield,"[15.6, 28.1]",N/A,Complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dribble,25,Werder Bremen,Nick Woltemade,Right Center Forward,"[65.6, 65.0]",N/A,Complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dribble,25,Werder Bremen,Nick Woltemade,Right Center Forward,"[64.8, 65.3]",N/A,Incomplete,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dribble,34,Bayer Leverkusen,Amine Adli,Left Attacking Midfield,"[105.1, 22.1]",N/A,Complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dribble,34,Bayer Leverkusen,Jonas Hofmann,Right Attacking Midfield,"[105.3, 45.2]",N/A,Complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dribble,39,Werder Bremen,Mitchell Weiser,Right Wing Back,"[90.0, 65.3]",N/A,Complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A
